patient_id,face_pre_crop,face_post_crop,face_retained_pct,brain_pre_crop,brain_post_crop,brain_retained_pct,esophagus_pre_crop,esophagus_post_crop,esophagus_retained_pct,trachea_pre_crop,trachea_post_crop,trachea_retained_pct,lung_pre_crop,lung_post_crop,lung_retained_pct,heart_pre_crop,heart_post_crop,heart_retained_pct,kidney_pre_crop,kidney_post_crop,kidney_retained_pct,stomach_pre_crop,stomach_post_crop,stomach_retained_pct,liver_pre_crop,liver_post_crop,liver_retained_pct,gallbladder_pre_crop,gallbladder_post_crop,gallbladder_retained_pct,pancreas_pre_crop,pancreas_post_crop,pancreas_retained_pct,spleen_pre_crop,spleen_post_crop,spleen_retained_pct,colon_pre_crop,colon_post_crop,colon_retained_pct,aorta_pre_crop,aorta_post_crop,aorta_retained_pct,rib_pre_crop,rib_post_crop,rib_retained_pct,humerus_pre_crop,humerus_post_crop,humerus_retained_pct,scapula_pre_crop,scapula_post_crop,scapula_retained_pct,clavicula_pre_crop,clavicula_post_crop,clavicula_retained_pct,femur_pre_crop,femur_post_crop,femur_retained_pct,hip_pre_crop,hip_post_crop,hip_retained_pct,sacrum_pre_crop,sacrum_post_crop,sacrum_retained_pct,gluteus_pre_crop,gluteus_post_crop,gluteus_retained_pct,iliopsoas_pre_crop,iliopsoas_post_crop,iliopsoas_retained_pct,autochthon_pre_crop,autochthon_post_crop,autochthon_retained_pct
train_17813_a,1266,1266,100.0,0,0,0.0,12452,12452,100.0,4664,4664,100.0,705021,705021,100.0,200127,200127,100.0,114058,114058,100.0,477373,477373,100.0,639662,639662,100.0,9527,9527,100.0,22292,22292,100.0,92599,92599,100.0,117076,117015,99.94789709248694,74096,74096,100.0,86661,86661,100.0,25541,25541,100.0,57324,57324,100.0,10392,10392,100.0,0,0,0.0,30,30,100.0,0,0,0.0,0,0,0.0,23660,23660,100.0,248997,245052,98.41564356197063
train_2545_a,0,0,0.0,0,0,0.0,13313,12087,90.79095620821754,18362,14086,76.7127763860146,2487311,2480880,99.74144769190504,223499,223499,100.0,87992,53406,60.69415401400128,98278,98278,100.0,748072,705879,94.35976750900983,3396,3396,100.0,34931,34116,97.66682889124274,312324,285109,91.28629243990216,170733,132061,77.3494286400403,92287,89268,96.72868334651685,159343,150338,94.34866922299693,8089,0,0.0,90164,60328,66.90918770240894,14296,2576,18.019026301063235,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,20824,5529,26.551094890510953,326735,263560,80.66475890247449
train_1540_c,0,0,0.0,0,0,0.0,16580,16580,100.0,17736,17736,100.0,1228962,1214361,98.8119242092107,144677,144677,100.0,9620,9620,100.0,170579,170579,100.0,846321,846321,100.0,1944,1944,100.0,2784,2784,100.0,125437,125011,99.66038728604798,52460,44011,83.89439573008006,140623,140623,100.0,151079,131319,86.92075007115483,25508,19040,74.64324917672886,76908,71887,93.47142039839808,11582,11582,100.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,136167,59874,43.97100619092732
train_1540_b,0,0,0.0,0,0,0.0,14571,14571,100.0,19533,19533,100.0,1687923,1687923,100.0,155271,155271,100.0,51153,34998,68.4182745880007,226594,226450,99.93645021492185,616254,616254,100.0,16173,16173,100.0,17917,15645,87.31930568733604,145848,144920,99.36372113433163,211374,148562,70.28395166860636,143670,141568,98.53692489733416,163220,155811,95.46072785197892,31758,14922,46.98658605705649,81250,73589,90.57107692307692,15399,10036,65.17306318592117,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,567,96,16.93121693121693,179869,133651,74.30463281610506
train_1540_a,0,0,0.0,0,0,0.0,18330,18330,100.0,20608,20608,100.0,1704640,1696900,99.54594518490708,120737,120737,100.0,35763,18809,52.593462517126646,159116,159109,99.99560069383342,746012,737808,98.90028578628763,7950,7950,100.0,23370,20667,88.43388960205391,122793,107584,87.61411481110487,286508,198011,69.11185726053026,143209,141002,98.4588957397929,159373,139689,87.64909991027339,46770,28854,61.69339320076972,85348,77662,90.99451656746497,22807,15669,68.70259130968563,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,545,94,17.24770642201835,168354,77537,46.0559297670385
train_11334_a,0,0,0.0,0,0,0.0,18183,17866,98.25661332013419,19051,17884,93.87433730512834,1639658,1639658,100.0,192522,192522,100.0,38015,12339,32.4582401683546,199821,186265,93.21592825578892,777013,740053,95.24332282728861,565,0,0.0,23384,19558,83.63838522066371,211565,195521,92.41651501902489,13770,3343,24.27741466957153,111675,109762,98.28699350794717,139707,138454,99.10312296448997,30176,4253,14.093981972428422,74600,61722,82.7372654155496,15342,10987,71.61387042106635,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,4790,1112,23.215031315240083,199992,171034,85.52042081683268
train_14966_a,1769,1769,100.0,0,0,0.0,8075,8075,100.0,8809,8809,100.0,1433493,1433493,100.0,128583,128583,100.0,18866,18866,100.0,47588,47588,100.0,321011,321011,100.0,154,154,100.0,20959,20959,100.0,46247,46247,100.0,337,337,100.0,66477,66477,100.0,77447,77447,100.0,32832,32832,100.0,51777,51777,100.0,13896,13896,100.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,3560,3560,100.0,139484,139484,100.0
train_9551_a,0,0,0.0,0,0,0.0,11212,10912,97.32429539778809,18553,17862,96.27553495391581,2388182,2388182,100.0,253901,253901,100.0,59402,25919,43.63321100299653,105545,104366,98.88294092567152,625558,584404,93.42123352271092,9171,1689,18.416748446189075,21466,16420,76.49305879064568,74399,65529,88.0777967445799,64800,48440,74.75308641975309,82868,80727,97.41637302698267,130262,128924,98.97283935453164,25034,1641,6.5550850842853725,75995,63109,83.0436212908744,16962,9518,56.1136658412923,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,11473,3181,27.725965309857926,270920,226031,83.43090211132437
train_11979_a,0,0,0.0,0,0,0.0,13464,13460,99.97029114676174,6659,6305,94.68388646943986,717985,717985,100.0,144070,144070,100.0,97306,92128,94.6786426325201,56908,56908,100.0,609811,609811,100.0,9741,9741,100.0,26638,26638,100.0,137223,137223,100.0,101086,99551,98.48149100765686,40646,40409,99.41691679378044,106568,106470,99.90803993694168,18462,11048,59.84183728740115,63958,61655,96.39919947465523,13170,11498,87.30447987851177,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,4548,3148,69.21723834652595,233904,223033,95.3523667829537
train_17325_a,0,0,0.0,0,0,0.0,10088,10088,100.0,7754,7754,100.0,1361428,1361428,100.0,144853,144853,100.0,16721,16721,100.0,41589,41589,100.0,384494,384494,100.0,8143,8143,100.0,12021,12021,100.0,90855,90855,100.0,24647,24647,100.0,91903,91903,100.0,105629,105629,100.0,15810,15810,100.0,57610,57610,100.0,9653,9653,100.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,508,508,100.0,146662,146662,100.0
